coef_liquidity_in,coef_liquidity_out,dynamical_variables,func_monitor,mobile_window,timeframe,timeframe_grid_search,weighting_factor,window_grid_search,fattore_rendimento_totale,volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
1,1,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0,360,511.0063292730198,0.3288690828089813,68.19470819029428,0.705288827367152,1.275060500623013,747.8678959221734
1,1,{},ma_returns_prices,48,336,-1,0,360,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
1,1,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0,720,365.7177397463702,0.335150468509207,68.19470819029428,0.6692265619516385,1.2118332675797627,534.8182423900719
1,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,360,308.08990381097345,0.3232037644073749,71.87289109031443,0.669418695516937,1.2033340132105206,427.26805496816417
1,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,360,307.27736814367347,0.3230892407620233,71.82782474746662,0.669306894208843,1.2030644074775283,426.4049053698733
1,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,360,260.66250493296195,0.33710954747893,70.62052550460562,0.6402117871434119,1.158841575856992,367.6870188625652
1,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,720,257.0724273185252,0.3194030746069893,70.38611441200115,0.6570340725965114,1.1916966235639035,363.8110008738651
1,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,336,-1,0,720,256.3930783862882,0.3192863498307427,70.33863359260184,0.6569199932064733,1.191418623559196,363.0907587223165
1,5,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,360,244.78276789798807,0.3292089124889567,67.67475004302574,0.6421005070772432,1.1664780230982206,360.22706806157066
1,1,{},mstd_returns_prices,168,336,-1,1,360,241.5889859339765,0.4116218375351385,70.161742540525,0.5812176939357258,1.0884907062977889,342.9062295523999
1,5,{},mstd_returns_prices,168,336,-1,1,360,240.95204845839024,0.4115247396990615,70.161742540525,0.581074094980671,1.088176742401374,341.9984164729024
1,1,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,336,-1,0,720,238.4223497194885,0.3269953744227197,61.8502254273518,0.6411058799826646,1.1838082499567415,383.8665875169052
